"","date","state","fips","cases","deaths","state_pop","cases_per_capita","seven_day_avg","seven_day_avg_percapita"
"1",2020-01-21,"Washington",53,1,0,7614893,1.31321608852547e-07,NA,NA
"2",2020-01-22,"Washington",53,1,0,7614893,1.31321608852547e-07,NA,NA
"3",2020-01-23,"Washington",53,1,0,7614893,1.31321608852547e-07,NA,NA
"4",2020-01-24,"Illinois",17,1,0,12671821,7.89152561419547e-08,NA,NA
"5",2020-01-24,"Washington",53,1,0,7614893,1.31321608852547e-07,NA,NA
"6",2020-01-25,"California",6,1,0,39512223,2.53086241186683e-08,NA,NA
"7",2020-01-25,"Illinois",17,1,0,12671821,7.89152561419547e-08,NA,NA
"8",2020-01-25,"Washington",53,1,0,7614893,1.31321608852547e-07,NA,NA
"9",2020-01-26,"Arizona",4,1,0,7278717,1.37386849907752e-07,NA,NA
"10",2020-01-26,"California",6,2,0,39512223,5.06172482373366e-08,NA,NA
"11",2020-01-26,"Illinois",17,1,0,12671821,7.89152561419547e-08,NA,NA
"12",2020-01-26,"Washington",53,1,0,7614893,1.31321608852547e-07,NA,NA
"13",2020-01-27,"Arizona",4,1,0,7278717,1.37386849907752e-07,NA,NA
"14",2020-01-27,"California",6,2,0,39512223,5.06172482373366e-08,NA,NA
"15",2020-01-27,"Illinois",17,1,0,12671821,7.89152561419547e-08,NA,NA
"16",2020-01-27,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"17",2020-01-28,"Arizona",4,1,0,7278717,1.37386849907752e-07,NA,NA
"18",2020-01-28,"California",6,2,0,39512223,5.06172482373366e-08,NA,NA
"19",2020-01-28,"Illinois",17,1,0,12671821,7.89152561419547e-08,NA,NA
"20",2020-01-28,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"21",2020-01-29,"Arizona",4,1,0,7278717,1.37386849907752e-07,NA,NA
"22",2020-01-29,"California",6,2,0,39512223,5.06172482373366e-08,NA,NA
"23",2020-01-29,"Illinois",17,1,0,12671821,7.89152561419547e-08,NA,NA
"24",2020-01-29,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"25",2020-01-30,"Arizona",4,1,0,7278717,1.37386849907752e-07,NA,NA
"26",2020-01-30,"California",6,2,0,39512223,5.06172482373366e-08,NA,NA
"27",2020-01-30,"Illinois",17,2,0,12671821,1.57830512283909e-07,1.14285714285714,9.01888641622339e-08
"28",2020-01-30,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"29",2020-01-31,"Arizona",4,1,0,7278717,1.37386849907752e-07,NA,NA
"30",2020-01-31,"California",6,3,0,39512223,7.59258723560049e-08,2,5.06172482373366e-08
"31",2020-01-31,"Illinois",17,2,0,12671821,1.57830512283909e-07,1.28571428571429,1.01462472182513e-07
"32",2020-01-31,"Washington",53,1,0,7614893,1.31321608852547e-07,1,1.31321608852547e-07
"33",2020-02-01,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"34",2020-02-01,"California",6,3,0,39512223,7.59258723560049e-08,2.28571428571429,5.78482836998132e-08
"35",2020-02-01,"Illinois",17,2,0,12671821,1.57830512283909e-07,1.42857142857143,1.12736080202792e-07
